id_estacion,estacion_ruta,tipo_servicio,tipo_servicio_agrupado,zona_largo,zona,corredor_servicio,gps_latitud,gps_longitud,Nombre_estacion
1,7_AGOSTO,Estacion,Estacion,Zona 4 - Andrés Sanín,Cuatro,Carrera 15,3445235,"-76,487,153",7_AGOSTO
2,A. NARINO,Estacion,Estacion,Zona 6 - Simón Bolívar,Seis,Oriental,3419151,"-76,508,358",A. Narino
3,A. SANIN,Estacion,Estacion,Zona 4 - Andrés Sanín,Cuatro,Carrera 15,3443797,"-76,482,994",A. Sanin
4,A01A,Rutas,Alimentadoras,Zona 0 - Centro,Cero,Ruta,0,0,A01A
5,A01B,Rutas,Alimentadoras,Zona 0 - Centro,Cero,Ruta,0,0,A01B
6,A02,Rutas,Alimentadoras,Zona 0 - Centro,Cero,Ruta,0,0,A02
7,A03,Rutas,Alimentadoras,Zona 0 - Centro,Cero,Ruta,0,0,A03
8,A04,Rutas,Alimentadoras,Zona 0 - Centro,Cero,Ruta,0,0,A04
9,A05,Rutas,Alimentadoras,Zona 0 - Centro,Cero,Ruta,0,0,A05
10,A06,Rutas,Alimentadoras,Zona 0 - Centro,Cero,Ruta,0,0,A06
11,A11,Rutas,Alimentadoras,Zona 1 - Sur,Uno,Ruta,0,0,A11
12,A11B,Rutas,Alimentadoras,Zona 1 - Sur,Uno,Ruta,0,0,A11B
13,A12A,Rutas,Alimentadoras,Zona 1 - Sur,Uno,Ruta,0,0,A12A
14,A12B,Rutas,Alimentadoras,Zona 1 - Sur,Uno,Ruta,0,0,A12B
15,A12C,Rutas,Alimentadoras,Zona 1 - Sur,Uno,Ruta,0,0,A12C
16,A12D,Rutas,Alimentadoras,Zona 1 - Sur,Uno,Ruta,0,0,A12D
17,A13A,Rutas,Alimentadoras,Zona 1 - Sur,Uno,Ruta,0,0,A13A
18,A13C,Rutas,Alimentadoras,Zona 1 - Sur,Uno,Ruta,0,0,A13C
19,A13D,Rutas,Alimentadoras,Zona 1 - Sur,Uno,Ruta,0,0,A13D
20,A14A,Rutas,Alimentadoras,Zona 1 - Sur,Uno,Ruta,0,0,A14A
21,A14B,Rutas,Alimentadoras,Zona 1 - Sur,Uno,Ruta,0,0,A14B
